id,ObjectID,ActionID
1,7,2
2,8,1
3,8,3
4,8,4
5,9,1
6,9,2
7,9,3
8,9,4
9,10,1
10,10,2
11,10,3
12,10,4
13,11,1
14,11,2
15,11,3
16,11,4
17,11,5
18,12,1
19,12,2
20,12,3
21,12,4
22,12,5
23,13,1
24,13,2
25,13,3
26,13,4
27,13,5
28,14,1
29,14,2
30,14,3
31,14,4
32,14,5
33,15,1
34,15,2
35,15,3
36,15,4
37,15,5
38,19,1
39,20,1
40,21,1
41,22,1
42,23,1
43,24,1
44,17,1
45,17,2
46,17,3
47,17,4
48,18,1
49,18,2
50,18,3
51,18,4
52,7,1
53,16,1
54,25,1
